DRE,Mês de competência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoria,Jan/2021,Fev/2021,Mar/2021,Abr/2021,Mai/2021,Jun/2021,Jul/2021,Ago/2021,Set/2021,Out/2021,Nov/2021,Dez/2021,Jan/2022,Fev/2022,Mar/2022,Abr/2022,Mai/2022,Jun/2022,Jul/2022,Ago/2022,Set/2022,Out/2022,Nov/2022,Dez/2022,Jan/2023,Fev/2023,Mar/2023,Abr/2023,Mai/2023,Jun/2023,Jul/2023,Ago/2023,Set/2023,Out/2023,Nov/2023,Dez/2023,Jan/2024,Fev/2024,Mar/2024,Abr/2024,Mai/2024,Jun/2024,Jul/2024,Ago/2024,Set/2024,Out/2024,Nov/2024,Dez/2024,Jan/2025,Fev/2025,Mar/2025,Abr/2025,Mai/2025,Jun/2025,Jul/2025,Ago/2025,Set/2025,Out/2025,Nov/2025,Dez/2025,Jan/2026,Valor
01 Receitas Operacionais,"0,00","65.913,81","46.592,11","41.035,36","103.222,22","46.592,11","90.424,71","68.759,36","94.135,36","60.850,07","43.600,07","102.925,07","107.594,50","89.497,46","93.714,46","92.702,46","116.921,36","116.921,36","158.985,36","167.350,36","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","135.586,46","129.086,46","131.651,17","151.966,17","131.651,17","151.880,68","145.380,68","168.660,50","160.738,53","160.743,60","157.580,99","157.580,99","196.588,53","163.738,53","160.781,84","169.282,78","209.912,78","214.926,77","235.839,27","235.839,27","179.076,77","188.564,27","182.064,56","205.964,27","182.064,27","231.776,13","250.059,77","209.429,77","211.426,27","202.016,57","202.016,57","173.647,92","8.657.040,02"
01.1 Receita de Vendas de Produtos e Serviços,"0,00","65.913,81","46.592,11","41.035,36","103.222,22","46.592,11","90.424,71","68.759,36","94.135,36","60.850,07","43.600,07","102.925,07","107.594,50","89.497,46","93.714,46","92.702,46","116.921,36","116.921,36","158.985,36","167.350,36","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","135.586,46","129.086,46","131.651,17","151.966,17","131.651,17","151.880,68","145.380,68","168.660,50","160.738,53","160.743,60","157.580,99","157.580,99","196.588,53","163.738,53","160.781,84","169.282,78","209.912,78","214.926,77","235.839,27","235.839,27","179.076,77","188.564,27","182.064,56","205.964,27","182.064,27","231.776,13","250.059,77","209.429,77","211.426,27","202.016,57","202.016,57","173.647,92","8.657.040,02"
Receitas de Serviços,"0,00","65.913,81","46.592,11","41.035,36","103.222,22","46.592,11","90.424,71","68.759,36","76.885,36","43.600,07","43.600,07","102.925,07","107.594,50","89.497,46","93.714,46","92.702,46","116.921,36","116.921,36","158.985,36","167.350,36","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","135.586,46","129.086,46","131.651,17","151.966,17","131.651,17","151.880,68","145.380,68","168.625,53","160.738,53","160.738,53","157.580,99","157.580,99","196.588,53","163.738,53","160.781,84","169.282,78","209.912,78","214.926,77","235.839,27","235.839,27","179.076,77","188.564,27","182.064,56","205.964,27","182.064,27","231.776,13","250.059,77","209.429,77","211.426,27","202.016,57","202.016,57","173.647,92","8.622.499,98"
Receitas de Vendas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","17.250,00","17.250,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34,97","0,00","5,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34.540,04"
01.2 Receita de Fretes e Entregas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Sem lançamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01T Receita Bruta de Vendas,"0,00","65.913,81","46.592,11","41.035,36","103.222,22","46.592,11","90.424,71","68.759,36","94.135,36","60.850,07","43.600,07","102.925,07","107.594,50","89.497,46","93.714,46","92.702,46","116.921,36","116.921,36","158.985,36","167.350,36","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","129.086,46","135.586,46","129.086,46","131.651,17","151.966,17","131.651,17","151.880,68","145.380,68","168.660,50","160.738,53","160.743,60","157.580,99","157.580,99","196.588,53","163.738,53","160.781,84","169.282,78","209.912,78","214.926,77","235.839,27","235.839,27","179.076,77","188.564,27","182.064,56","205.964,27","182.064,27","231.776,13","250.059,77","209.429,77","211.426,27","202.016,57","202.016,57","173.647,92","8.657.040,02"
02 Deduções da Receita Bruta,"0,00","-14.015,59","-15.670,81","-12.877,51","-6.360,39","-5.375,65","0,00","-22.467,81","-27.224,50","-61.626,80","-24.180,43","-32.350,18","-51.562,84","-20.758,86","-30.215,86","-18.321,92","-17.628,25","-542,80","-26.830,38","-30.269,84","-34.584,63","-25.134,10","-25.220,71","-25.348,30","-25.774,70","-25.829,35","-25.859,95","-25.912,15","-25.951,36","-32.494,03","-26.013,32","-26.033,03","-26.042,20","-30.453,33","-26.541,97","-29.217,33","-41.100,37","-29.853,42","-31.087,36","-32.328,70","-31.750,91","-31.783,55","-65.682,79","-32.558,69","-32.658,56","-68.286,64","-42.518,03","-42.699,48","-49.272,06","-47.960,63","-36.775,46","-38.849,69","-38.825,99","-42.883,45","-38.150,05","-48.228,31","-53.498,33","-44.072,68","-44.168,67","-44.072,68","-44.072,68","-1.907.830,06"
02.1 Impostos Sobre Vendas,"0,00","-14.015,59","-15.670,81","-12.877,51","-6.360,39","-5.375,65","0,00","-20.236,59","-19.224,50","-29.626,80","-16.180,43","-24.350,18","-43.562,84","-20.758,86","-24.615,86","-18.321,92","-17.228,25","-542,80","-22.430,38","-24.869,84","-32.184,63","-25.134,10","-25.220,71","-25.348,30","-25.774,70","-25.829,35","-25.859,95","-25.912,15","-25.951,36","-25.994,03","-26.013,32","-26.033,03","-26.042,20","-30.453,33","-26.541,97","-29.217,33","-41.100,37","-29.853,42","-31.087,36","-32.328,70","-31.750,91","-31.783,55","-39.432,79","-32.558,69","-32.658,56","-34.286,64","-42.518,03","-42.699,48","-49.272,06","-47.960,63","-36.775,46","-38.849,69","-38.825,99","-42.883,45","-38.150,05","-48.228,31","-53.498,33","-44.072,68","-44.168,67","-44.072,68","-44.072,68","-1.756.648,84"
Simples Nacional - DAS,"0,00","-14.015,59","-15.670,81","-12.877,51","-6.360,39","-5.375,65","0,00","-20.236,59","-19.224,50","-29.626,80","-16.180,43","-24.350,18","-43.562,84","-20.758,86","-24.615,86","-18.321,92","-17.228,25","-542,80","-22.430,38","-24.869,84","-32.184,63","-25.134,10","-25.220,71","-25.348,30","-25.774,70","-25.829,35","-25.859,95","-25.912,15","-25.951,36","-25.994,03","-26.013,32","-26.033,03","-26.042,20","-30.453,33","-26.541,97","-29.217,33","-41.100,37","-29.853,42","-31.087,36","-32.328,70","-31.750,91","-31.783,55","-39.432,79","-32.558,69","-32.658,56","-34.286,64","-42.518,03","-42.699,48","-49.272,06","-47.960,63","-36.775,46","-38.849,69","-38.825,99","-42.883,45","-38.150,05","-48.228,31","-53.498,33","-44.072,68","-44.168,67","-44.072,68","-44.072,68","-1.756.648,84"
