,Mês de competência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRE,Dez/2021,,,Jan/2022,,,Fev/2022,,,Mar/2022,,,Abr/2022,,,Mai/2022,,,Jun/2022,,,Jul/2022,,,Ago/2022,,,Set/2022,,,Out/2022,,,Nov/2022,,,Dez/2022,,,Jan/2023,,,Fev/2023,,,Mar/2023,,,Abr/2023,,,Mai/2023,,,Jun/2023,,,Jul/2023,,,Ago/2023,,,Set/2023,,,Out/2023,,,Nov/2023,,,Dez/2023,,,Jan/2024,,,Fev/2024,,,Mar/2024,,,Abr/2024,,,Mai/2024,,,Jun/2024,,,Jul/2024,,,Ago/2024,,,Set/2024,,,Out/2024,,,Nov/2024,,,Dez/2024,,,Jan/2025,,,Fev/2025,,,Mar/2025,,,Abr/2025,,,Mai/2025,,,Jun/2025,,,Jul/2025,,,Ago/2025,,,Set/2025,,,Out/2025,,,Nov/2025,,,Dez/2025,,,Totais,,
Categoria,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %,Valor,AV %,AH %
01 Receitas Operacionais,"102.925,07","100,00%","0,00%","107.594,50","100,00%","4,54%","89.497,46","100,00%","-16,82%","93.714,46","100,00%","4,71%","92.702,46","100,00%","-1,08%","116.921,36","100,00%","26,13%","116.921,36","100,00%","0,00%","158.985,36","100,00%","35,98%","167.350,36","100,00%","5,26%","129.086,46","100,00%","-22,86%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","135.586,46","100,00%","5,04%","129.086,46","100,00%","-4,79%","131.651,17","100,00%","1,99%","151.966,17","100,00%","15,43%","131.651,17","100,00%","-13,37%","151.880,68","100,00%","15,37%","145.380,68","100,00%","-4,28%","168.660,50","100,00%","16,01%","160.738,53","100,00%","-4,70%","160.743,60","100,00%","0,00%","157.580,99","100,00%","-1,97%","157.580,99","100,00%","0,00%","196.588,53","100,00%","24,75%","163.738,53","100,00%","-16,71%","160.781,84","100,00%","-1,81%","169.282,78","100,00%","5,29%","209.912,78","100,00%","24,00%","214.926,77","100,00%","2,39%","235.839,27","100,00%","9,73%","235.839,27","100,00%","0,00%","179.076,77","100,00%","-24,07%","188.564,27","100,00%","5,30%","182.064,56","100,00%","-3,45%","205.964,27","100,00%","13,13%","182.064,27","100,00%","-11,60%","231.776,13","100,00%","27,30%","250.059,77","100,00%","7,89%","209.429,77","100,00%","-16,25%","211.426,27","100,00%","0,95%","202.016,57","100,00%","-4,45%","202.016,57","100,00%","0,00%","7.822.266,92","4.469,74%","0,00%"
01.1 Receita de Vendas de Produtos e Serviços,"102.925,07","100,00%","0,00%","107.594,50","100,00%","4,54%","89.497,46","100,00%","-16,82%","93.714,46","100,00%","4,71%","92.702,46","100,00%","-1,08%","116.921,36","100,00%","26,13%","116.921,36","100,00%","0,00%","158.985,36","100,00%","35,98%","167.350,36","100,00%","5,26%","129.086,46","100,00%","-22,86%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","135.586,46","100,00%","5,04%","129.086,46","100,00%","-4,79%","131.651,17","100,00%","1,99%","151.966,17","100,00%","15,43%","131.651,17","100,00%","-13,37%","151.880,68","100,00%","15,37%","145.380,68","100,00%","-4,28%","168.660,50","100,00%","16,01%","160.738,53","100,00%","-4,70%","160.743,60","100,00%","0,00%","157.580,99","100,00%","-1,97%","157.580,99","100,00%","0,00%","196.588,53","100,00%","24,75%","163.738,53","100,00%","-16,71%","160.781,84","100,00%","-1,81%","169.282,78","100,00%","5,29%","209.912,78","100,00%","24,00%","214.926,77","100,00%","2,39%","235.839,27","100,00%","9,73%","235.839,27","100,00%","0,00%","179.076,77","100,00%","-24,07%","188.564,27","100,00%","5,30%","182.064,56","100,00%","-3,45%","205.964,27","100,00%","13,13%","182.064,27","100,00%","-11,60%","231.776,13","100,00%","27,30%","250.059,77","100,00%","7,89%","209.429,77","100,00%","-16,25%","211.426,27","100,00%","0,95%","202.016,57","100,00%","-4,45%","202.016,57","100,00%","0,00%","7.822.266,92","4.468,92%","0,00%"
Receitas de Serviços,"102.925,07","100,00%","0,00%","107.594,50","100,00%","4,54%","89.497,46","100,00%","-16,82%","93.714,46","100,00%","4,71%","92.702,46","100,00%","-1,08%","116.921,36","100,00%","26,13%","116.921,36","100,00%","0,00%","158.985,36","100,00%","35,98%","167.350,36","100,00%","5,26%","129.086,46","100,00%","-22,86%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","135.586,46","100,00%","5,04%","129.086,46","100,00%","-4,79%","131.651,17","100,00%","1,99%","151.966,17","100,00%","15,43%","131.651,17","100,00%","-13,37%","151.880,68","100,00%","15,37%","145.380,68","100,00%","-4,28%","168.625,53","99,98%","15,99%","160.738,53","100,00%","-4,68%","160.738,53","100,00%","0,00%","157.580,99","100,00%","-1,96%","157.580,99","100,00%","0,00%","196.588,53","100,00%","24,75%","163.738,53","100,00%","-16,71%","160.781,84","100,00%","-1,81%","169.282,78","100,00%","5,29%","209.912,78","100,00%","24,00%","214.926,77","100,00%","2,39%","235.839,27","100,00%","9,73%","235.839,27","100,00%","0,00%","179.076,77","100,00%","-24,07%","188.564,27","100,00%","5,30%","182.064,56","100,00%","-3,45%","205.964,27","100,00%","13,13%","182.064,27","100,00%","-11,60%","231.776,13","100,00%","27,30%","250.059,77","100,00%","7,89%","209.429,77","100,00%","-16,25%","211.426,27","100,00%","0,95%","202.016,57","100,00%","-4,45%","202.016,57","100,00%","0,00%","7.822.226,88","4.468,49%","0,00%"
Receitas de Vendas,"0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","34,97","0,02%","0,00%","0,00","0,00%","0,00%","5,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","40,04","0,02%","0,00%"
01.2 Receita de Fretes e Entregas,"0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%"
Sem lançamentos,"0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00%","0,00%"
01T Receita Bruta de Vendas,"102.925,07","100,00%","0,00%","107.594,50","100,00%","0,00%","89.497,46","100,00%","0,00%","93.714,46","100,00%","0,00%","92.702,46","100,00%","0,00%","116.921,36","100,00%","0,00%","116.921,36","100,00%","0,00%","158.985,36","100,00%","0,00%","167.350,36","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","129.086,46","100,00%","0,00%","135.586,46","100,00%","0,00%","129.086,46","100,00%","0,00%","131.651,17","100,00%","0,00%","151.966,17","100,00%","0,00%","131.651,17","100,00%","0,00%","151.880,68","100,00%","0,00%","145.380,68","100,00%","0,00%","168.660,50","100,00%","0,00%","160.738,53","100,00%","0,00%","160.743,60","100,00%","0,00%","157.580,99","100,00%","0,00%","157.580,99","100,00%","0,00%","196.588,53","100,00%","0,00%","163.738,53","100,00%","0,00%","160.781,84","100,00%","0,00%","169.282,78","100,00%","0,00%","209.912,78","100,00%","0,00%","214.926,77","100,00%","0,00%","235.839,27","100,00%","0,00%","235.839,27","100,00%","0,00%","179.076,77","100,00%","0,00%","188.564,27","100,00%","0,00%","182.064,56","100,00%","0,00%","205.964,27","100,00%","0,00%","182.064,27","100,00%","0,00%","231.776,13","100,00%","0,00%","250.059,77","100,00%","0,00%","209.429,77","100,00%","0,00%","211.426,27","100,00%","0,00%","202.016,57","100,00%","0,00%","202.016,57","100,00%","0,00%","7.822.266,92","4.900,00%","0,00%"
02 Deduções da Receita Bruta,"-32.350,18","-31,43%","0,00%","-51.562,84","-47,92%","59,39%","-20.758,86","-23,19%","-59,74%","-30.215,86","-32,24%","45,56%","-18.321,92","-19,76%","-39,36%","-17.628,25","-15,08%","-3,79%","-542,80","-0,46%","-96,92%","-26.830,38","-16,88%","4.842,96%","-30.269,84","-18,09%","12,82%","-34.584,63","-26,79%","14,25%","-25.134,10","-19,47%","-27,33%","-25.220,71","-19,54%","0,34%","-25.348,30","-19,64%","0,51%","-25.774,70","-19,97%","1,68%","-25.829,35","-20,01%","0,21%","-25.859,95","-20,03%","0,12%","-25.912,15","-20,07%","0,20%","-25.951,36","-20,10%","0,15%","-32.494,03","-23,97%","25,21%","-26.013,32","-20,15%","-19,94%","-26.033,03","-19,77%","0,08%","-26.042,20","-17,14%","0,04%","-30.453,33","-23,13%","16,94%","-26.541,97","-17,48%","-12,84%","-29.217,33","-20,10%","10,08%","-41.100,37","-24,37%","40,67%","-29.853,42","-18,57%","-27,36%","-31.087,36","-19,34%","4,13%","-32.328,70","-20,52%","3,99%","-31.750,91","-20,15%","-1,79%","-31.783,55","-16,17%","0,10%","-65.682,79","-40,11%","106,66%","-32.558,69","-20,25%","-50,43%","-32.658,56","-19,29%","0,31%","-68.286,64","-32,53%","109,09%","-42.518,03","-19,78%","-37,74%","-42.699,48","-18,11%","0,43%","-49.272,06","-20,89%","15,39%","-47.960,63","-26,78%","-2,66%","-36.775,46","-19,50%","-23,32%","-38.849,69","-21,34%","5,64%","-38.825,99","-18,85%","-0,06%","-42.883,45","-23,55%","10,45%","-38.150,05","-16,46%","-11,04%","-48.228,31","-19,29%","26,42%","-53.498,33","-25,54%","10,93%","-44.072,68","-20,85%","-17,62%","-44.168,67","-21,86%","0,22%","-44.072,68","-21,82%","-0,22%","-1.673.957,89","-1.082,10%","0,00%"
