Vendedor;Cliente;Venda;Data;Valor;
Rodrigo;"MIRIAN JARAGUARI AUTO POSTO LTDA";"Venda 2382";"05/12/2025";"R$ 776,75";
Rodrigo;"ASFRETE";"Venda 2381";"05/12/2025";"R$ 2987,50";
Rodrigo;"POSTO MIRIAN 10";"Venda 2380";"05/12/2025";"R$ 776,75";
Rodrigo;"POSTO MIRIAN BARCARENA";"Venda 2379";"05/12/2025";"R$ 776,75";
Rodrigo;"MIRIAN VARZEA GRANDE AUTO POSTO LTDA";"Venda 2378";"05/12/2025";"R$ 776,75";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M1";"Venda 2377";"05/12/2025";"R$ 776,75";
Rodrigo;"MIRIAN MIRITITUBA AUTO POSTO LTDA";"Venda 2376";"05/12/2025";"R$ 776,75";
Rodrigo;"MIRIAN 11";"Venda 2375";"05/12/2025";"R$ 776,75";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M2";"Venda 2374";"05/12/2025";"R$ 776,75";
Rodrigo;"MIRIAN CANDEIAS AUTO POSTO COMERCIO DE COMBUSTIVEIS LUBRIFICANTES E GAS";"Venda 2373";"05/12/2025";"R$ 776,75";
Rodrigo;"MIRIAN ITAITUBA AUTO POSTO LTDA";"Venda 2372";"05/12/2025";"R$ 776,75";
Rodrigo;"MIRIAN MATUPA AUTO POSTO LTDA";"Venda 2371";"05/12/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO LINHO LTDA";"Venda 2370";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO SORRISO LTDA";"Venda 2369";"04/12/2025";"R$ 1434,00";
Rodrigo;"ALDO RODOVIA DOS IMIGRANTES LTDA";"Venda 2368";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO CUBATAO LTDA - ME";"Venda 2367";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO MARINGA LTDA";"Venda 2366";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO SAO JOSE DOS PINHAIS LTDA";"Venda 2365";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO MANGUEIRAS LTDA";"Venda 2364";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO PORTO FRANCO";"Venda 2363";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO TREVO JATAI LTDA - ME";"Venda 2362";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO BARREIRAS LTDA";"Venda 2361";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO RONDONOPOLIS LTDA";"Venda 2360";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO JATAI INDUSTRIAL LTDA";"Venda 2359";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO PARANAGUA I LTDA";"Venda 2358";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO PRIMAVERA LTDA";"Venda 2357";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO CUIABA LTDA";"Venda 2356";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO ITAITUBA KM 30 LTDA";"Venda 2355";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO BARCARENA";"Venda 2354";"04/12/2025";"R$ 1434,00";
Rodrigo;"POSTO ALDO SAO LUIS";"Venda 2353";"04/12/2025";"R$ 1434,00";
Rodrigo;"MIRIAN JARAGUARI AUTO POSTO LTDA";"Venda 2352";"01/12/2025";"R$ 2929,85";
Rodrigo;"MIRIAN VARZEA GRANDE AUTO POSTO LTDA";"Venda 2351";"01/12/2025";"R$ 2929,85";
Rodrigo;"TRANSPORTADORA BATISTA LTDA";"Venda 2350";"01/12/2025";"R$ 2000,00";
Rodrigo;"MIRIAN MIRITITUBA AUTO POSTO LTDA";"Venda 2349";"01/12/2025";"R$ 2929,85";
Rodrigo;"MIRIAN MATUPA AUTO POSTO LTDA";"Venda 2348";"01/12/2025";"R$ 2929,85";
Rodrigo;"IB3 TI";"Venda 2347";"01/12/2025";"R$ 14340,00";
Rodrigo;"MIRIAN CANDEIAS AUTO POSTO COMERCIO DE COMBUSTIVEIS LUBRIFICANTES E GAS";"Venda 2346";"01/12/2025";"R$ 2929,85";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M1";"Venda 2345";"01/12/2025";"R$ 2929,85";
Rodrigo;"POSTO MIRIAN BARCARENA";"Venda 2344";"01/12/2025";"R$ 2929,85";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M2";"Venda 2343";"01/12/2025";"R$ 2929,85";
Rodrigo;"MIRIAN 11";"Venda 2342";"01/12/2025";"R$ 2929,85";
Rodrigo;"MIRIAN ITAITUBA AUTO POSTO LTDA";"Venda 2341";"01/12/2025";"R$ 2929,85";
Rodrigo;"POSTO MIRIAN 10";"Venda 2340";"01/12/2025";"R$ 2929,85";
Rodrigo;"POSTO ALDO PORTO FRANCO";"Venda 2339";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO RONDONOPOLIS LTDA";"Venda 2338";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO MANGUEIRAS LTDA";"Venda 2337";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO PARANAGUA I LTDA";"Venda 2336";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO JATAI INDUSTRIAL LTDA";"Venda 2335";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO ITAITUBA KM 30 LTDA";"Venda 2334";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO MARINGA LTDA";"Venda 2333";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO PRIMAVERA LTDA";"Venda 2332";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO SAO LUIS";"Venda 2331";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO TREVO JATAI LTDA - ME";"Venda 2330";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO CUIABA LTDA";"Venda 2329";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO BARREIRAS LTDA";"Venda 2328";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO BARCARENA";"Venda 2327";"20/11/2025";"R$ 3157,54";
Rodrigo;"ALDO RODOVIA DOS IMIGRANTES LTDA";"Venda 2326";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO CUBATAO LTDA - ME";"Venda 2325";"20/11/2025";"R$ 3157,54";
Rodrigo;"GA SERVICE - GESTAO ADIMINISTRATIVA LTDA";"Venda 2324";"20/11/2025";"R$ 42064,00";
Rodrigo;"POSTO ALDO SAO JOSE DOS PINHAIS LTDA";"Venda 2323";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO SORRISO LTDA";"Venda 2322";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO LINHO LTDA";"Venda 2321";"20/11/2025";"R$ 3157,54";
Rodrigo;"POSTO ALDO MARINGA LTDA";"Venda 2320";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO PARANAGUA I LTDA";"Venda 2319";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO MANGUEIRAS LTDA";"Venda 2318";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO JATAI INDUSTRIAL LTDA";"Venda 2317";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO BARCARENA";"Venda 2316";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO LINHO LTDA";"Venda 2315";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO PORTO FRANCO";"Venda 2314";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO RONDONOPOLIS LTDA";"Venda 2313";"16/11/2025";"R$ 776,75";
Rodrigo;"ALDO RODOVIA DOS IMIGRANTES LTDA";"Venda 2312";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO SORRISO LTDA";"Venda 2311";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO CUIABA LTDA";"Venda 2310";"16/11/2025";"R$ 776,75";
Rodrigo;"POSTO ALDO ITAITUBA KM 30 LTDA";"Venda 2309";"16/11/2025";"R$ 776,75";
